TimeStamp: 23/01/2020 16:24:48, RemoteIpAddress: ::1, Path: /pixel/, 
TimeStamp: 23/01/2020 16:38:31, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:38:32, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:38:35, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:00, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:01, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:03, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:04, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:06, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:07, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:08, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:10, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:11, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:15, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:17, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:18, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:19, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:21, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:22, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:39:26, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=1
TimeStamp: 23/01/2020 16:41:41, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:41, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:42, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:42, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:42, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:42, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:42, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:42, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:43, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:43, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:43, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:43, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:43, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:44, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:44, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:44, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:44, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:44, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:44, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:45, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:45, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:45, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:45, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:45, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:45, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:46, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:46, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:46, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:46, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:46, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:47, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:47, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:47, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:47, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:47, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:47, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:48, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:48, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:48, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:48, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:48, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:48, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:48, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:49, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:49, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:49, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:49, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:49, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:50, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:50, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:50, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:50, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:50, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:50, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:51, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:51, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:51, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:51, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:51, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:51, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:52, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:52, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:52, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:52, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:52, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:52, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:53, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:53, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:53, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:53, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:53, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:53, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:54, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:54, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:54, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:54, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:54, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:54, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:55, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:55, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:55, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:55, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:55, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
TimeStamp: 23/01/2020 16:41:55, RemoteIpAddress: ::1, Path: /pixel/, QueryParameters: ?bla=5
